axial_length,acd,lens_thickness,k_avg,lens_power
5,2,1,0.2,13.5
6,2.2,5.1,1.6,13.55
6,2.2,4.5,1.5,13.6
6.2,2.2,4.2,1.2,13.65
4.5,2.3,1.4,0.2,13.7
5,2.3,1.7,0.5,13.75
5.5,2.3,4.9,1.5,13.8
6.3,2.3,4.1,1.3,13.85
4.9,2.4,1.3,0.4,13.9
5.5,2.4,4,1.3,13.95
5.5,2.4,4.6,1.5,14
4.9,2.5,1.4,0.3,14.05
5.1,2.5,1.5,0.1,14.1
5.5,2.5,4.5,1.3,14.15
5.6,2.5,3.9,1.4,14.2
5.7,2.5,4.4,1.4,14.25
6.3,2.5,6,2.5,14.3
6.3,2.5,5.1,1.9,14.35
6.7,2.5,6.7,2,14.4
5.5,2.6,4.7,1.6,14.45
5.7,2.6,4.5,1.5,14.5
5.8,2.6,4.7,1.2,14.55
6.1,2.6,4,1.3,14.6
7.7,2.6,5.2,2.3,14.65
5.2,2.7,1.3,0.3,14.7
5.6,2.7,3.5,1,17.05
5.8,2.7,4.3,1.3,17.75
5.8,2.7,4.4,1.4,17.8
5.8,2.7,4.8,1.4,17.85
5.8,2.7,5,1.7,17.9
6,2.7,4.5,1.6,18.3
6.3,2.7,5.9,2.1,19.15
6.4,2.7,5.8,1.8,19.45
5.6,2.8,4.2,1.5,17.1
5.7,2.8,4.1,1,17.4
5.7,2.8,4.5,1.5,17.45
5.8,2.8,4.5,1.5,17.95
6.1,2.8,4.4,1.2,18.55
6.1,2.8,4.6,1.4,18.6
6.2,2.8,4.2,1.3,18.85
6.3,2.8,5.6,1.8,19.2
6.4,2.8,6.1,2.5,19.5
6.4,2.8,5.1,2,19.55
6.5,2.8,5.3,2.3,19.8
6.8,2.8,6.1,1.9,20.55
7.4,2.8,5.9,2.3,21.2
7.7,2.8,5,1.9,21.35
4.4,2.9,1.4,0.2,14.1
5.6,2.9,4,1,17.15
5.7,2.9,3.9,1.1,17.5
6,2.9,4.7,1.5,18.35
6.1,2.9,4,1.2,18.65
6.2,2.9,4.3,1.3,18.9
6.3,2.9,5.8,2.2,19.25
6.4,2.9,5.3,1.9,19.6
6.6,2.9,5.7,2.3,20.05
7.3,2.9,5.1,1.9,21.15
4.3,3,1.4,0.2,14.05
4.4,3,1.3,0.2,14.15
4.8,3,1.6,0.2,14.6
4.8,3,1.4,0.1,14.65
4.9,3,1.7,0.3,14.95
5,3,1.9,0.2,15.25
5.4,3,1.6,0.2,16.35
5.6,3,4.7,1.4,17.2
5.6,3,3.6,1.3,17.25
5.7,3,4.8,1.8,17.55
5.9,3,3.8,1.1,18.05
5.9,3,3.7,1,18.1
6,3,4.4,1.3,18.4
